Term (N-Gramm);S;tf;df;idf;tf-idf*;tf/S;df/S;(tf*df)/S^2
condition;3479;2419;320;1,03630445042768;2506,82046558456;0,6953147456165564817476286289;0,0919804541534923828686404139;0,0639553660814308922561773962
conditional;3479;138;12;2,46227318269996;339,793699212595;0,0396665708536935901121011785;0,0034492670307559643575740155;0,0001368205950687907678485812
conductive;3479;1076;124;1,44803274358535;1558,08323209784;0,3092842770911181373958033918;0,0356424259844782983615981604;0,0110236419543830551989306182
conductivity;3479;248;27;2,1100906645886;523,302484817973;0,0712848519689565967231963208;0,0077608508192009198045415349;0,0005532311017998931047790459
conductor;3479;129;23;2,17972659273;281,184730462169;0,0370796205806266168439206669;0,0066110951422822650186835297;0,0002451368994982501257287081
configuration;3479;914;165;1,32397048453368;1210,10902286379;0,2627191721759126185685541822;0,0474274216728945099166427134;0,0124600929603407824270800345
configure;3479;13559;1559;0,348608313558747;4726,78012354305;3,8973843058350100603621730382;0,4481172750790457027881575165;1,7464852350666227893373462968
connect;3479;6188;1060;0,516148563482819;3193,92731083168;1,778672032193158953722334004;0,3046852543834435182523713711;0,5419351405934890747185036057
connection;3479;1421;274;1,1037038659272;1568,36319348255;0,408450704225352112676056338;0,0787582638689278528312733544;0,0321688683408296863677032011
connector;3479;2131;134;1,41434963038278;3013,97906234571;0,6125323368784133371658522564;0,0385168151767749353262431733;0,0235927948093438882380638696
consist;3479;530;205;1,22970056769183;651,741300876672;0,1523426271917217591261856855;0,0589249784420810577752227652;0,0089767860230821962118045604
constant;3479;332;113;1,48837598526417;494,140827107704;0,0954297211842483472262144294;0,0324805978729519977004886462;0,0030996143989134990619609746
constitute;3479;252;98;1,55022835305509;390,657544969884;0,072434607645875251509054326;0,0281690140845070422535211268;0,0020404114829824014509592768
construct;3479;299;96;1,55918319570802;466,195775516698;0,0859442368496694452428858867;0,0275941362460477148605921242;0,0023715569811923733093754082
contact;3479;3210;357;0,988786212635396;3174,00374255962;0,9226789307272204656510491521;0,1026156941649899396378269618;0,0946813389679843938595643999
container;3479;36;8;2,63836444175565;94,9811199032032;0,0103478010922678930727220466;0,0022995113538373095717160103;0,0000237948860989201335388837
content;3479;1031;89;1,59206442210268;1641,41841918786;0,2963495257257832710549008336;0,0255820638114400689853406151;0,0075812324776069879631751004
context;3479;155;14;2,39532639306935;371,275590925749;0,0445530324805978729519977005;0,0040241448692152917505030181;0,0001792878570647801728450612
continuous;3479;347;100;1,54145442874759;534,884686775413;0,0997413049726933026731819488;0,0287438919229663696464501293;0,0028669532903907244229141118
continuously;3479;270;113;1,48837598526417;401,861516021326;0,0776085081920091980454153492;0,0324805978729519977004886462;0,0025207707461043516467754914
contour;3479;198;36;1,9851519279803;393,0600817401;0,0569129060074734118999712561;0,0103478010922678930727220466;0,0005889234309482733050873714
contrast;3479;496;88;1,59697175659742;792,09799127232;0,1425697039379131934463926416;0,0252946248922104052888761138;0,0036062471821030069052263732
control;3479;14524;1364;0,406640058427129;5906,04020859562;4,1747628628916355274504167864;0,3920666858292612819775797643;1,6367854397770022591096201485
controller;3479;3269;428;0,910010659734417;2974,82484667181;0,9396378269617706237424547284;0,1230238574302960620868065536;0,1155978700602580704115466007
conversion;3479;2348;245;1,15228834438306;2705,57303261142;0,6749065823512503592986490371;0,0704225352112676056338028169;0,0475286325599472084013133125
convert;3479;2207;503;0,839886443691662;1853,6293812275;0,6343776947398677780971543547;0,1445817763725208393216441506;0,0917194539965948526538857834
converter;3479;692;102;1,53285425698567;1060,73514583408;0,1989077321069272779534348951;0,0293187697614256970393791319;0,0058317300014103427281547454
convex;3479;447;106;1,51614856348282;677,71840787682;0,1284851968956596723196320782;0,0304685254383443518252371371;0,0039147544900660894699284278
coordinate;3479;2518;196;1,24919835739111;3145,48146391082;0,723771198620293187697614257;0,0563380281690140845070422535;0,0407758421757911655040909441
core;3479;337;36;1,9851519279803;668,996199729362;0,0968669157803966657085369359;0,0103478010922678930727220466;0,0010023595769170106253254756
